product name,product url,product price,review,number of reviews,ASIN,product description,manufacturer,description
"URBAN TRIBE Havana 15.6"" inch Laptop Backpack for Men and Women | 27L Office/Work/Casual Bag | Water Repellent | Black",https://amazon.in/Urban-Tribe-Laptop-Backpack-Havana/dp/B01LXNNFDF/ref=sr_1_171?crid=2M096C61O4MLT&keywords=bags&qid=1675289707&sprefix=ba%2Caps%2C283&sr=8-171,₹998,3.9 out of 5 stars,684,B01LXNNFDF,"Laptop Compatibility: Yes, Laptop size: 15.6 inches;Outer Material: Polyester, Color: Black;Water Resistance: Water resistant;Dimensions: 33 cms x 17.5 cms x 47 cms (LxWxH);Warranty type: Manufacturer; 12 months warranty against manufacturing defects",,"URBAN TRIBE Havana 15.6"" inch Laptop Backpack for Men and Women | 27L Office/Work/Casual Bag | Water Repellent | Black"
Zipline Unisex Messenger Bags,https://amazon.in/Zipline-Executive-Briefcase-Messenger-compartments/dp/B083BWTPZF/ref=sr_1_172?crid=2M096C61O4MLT&keywords=bags&qid=1675289707&sprefix=ba%2Caps%2C283&sr=8-172,₹843,4.0 out of 5 stars,"1,326",B083BWTPZF,,,Zipline Unisex Messenger Bags
"POLESTAR Noble 32 L Bag for College, School, Office, Casual Multipurpose Backpack with 15.6"" Laptop Compartment, Water Resistant, Unisex Design, Stylish & Durable, 1 Year Warranty",https://amazon.in/POLESTAR-Casual-bagpack-School-Backpack/dp/B07PQQ8M7B/ref=sr_1_173?crid=2M096C61O4MLT&keywords=bags&qid=1675289707&sprefix=ba%2Caps%2C283&sr=8-173,₹579,4.0 out of 5 stars,"17,255",B07PQQ8M7B,,,"POLESTAR Noble 32 L Bag for College, School, Office, Casual Multipurpose Backpack with 15.6"" Laptop Compartment, Water Resistant, Unisex Design, Stylish & Durable, 1 Year Warranty"
Nivia 5177RD Polyester String Bag (Red),https://amazon.in/Nivia-5177RD-Polyester-String-Bag/dp/B07NNJKQQY/ref=sr_1_174?crid=2M096C61O4MLT&keywords=bags&qid=1675289707&sprefix=ba%2Caps%2C283&sr=8-174,₹193,4.0 out of 5 stars,250,B07NNJKQQY,"String backpack have one main compartment is secured with drawstring closure. Efficient to hold your essentials;Highly water-resistant finish to save inner items from water splashes .;lightweight and easy to carry.Strong and durable ropes. multiple use trendy drawstring bag with excellent finish and durability;Designed for all types of occasions: Sports, daily use, cycling etc.;Comes in attractive color combination and premium quality of material",,Nivia 5177RD Polyester String Bag (Red)
Hammonds Flycatcher Genuine Leather Executive Formal Office Bag | Shoulder Laptop Messenger Bag for Men | MacBook|Notebook Upto 16 Inch| Crossbody Handbags with Shoulder Straps | Brown | LB106BR,https://amazon.in/Hammonds-Flycatcher-Messenger-Compartment-LB106BR/dp/B07P2TQH78/ref=sr_1_175?crid=2M096C61O4MLT&keywords=bags&qid=1675289707&sprefix=ba%2Caps%2C283&sr=8-175,"₹2,705",4.3 out of 5 stars,"4,561",B07P2TQH78,,,Hammonds Flycatcher Genuine Leather Executive Formal Office Bag | Shoulder Laptop Messenger Bag for Men | MacBook|Notebook Upto 16 Inch| Crossbody Handbags with Shoulder Straps | Brown | LB106BR
ZOUK Black Printed Handmade Vegan Leather Women's Office Bag for 15.6 inch Laptop with Double Handles - Lattice Lace,https://amazon.in/Womens-Lattice-Office-leather-adjustable/dp/B07VNMWWRX/ref=sr_1_176?crid=2M096C61O4MLT&keywords=bags&qid=1675289707&sprefix=ba%2Caps%2C283&sr=8-176,"₹1,699",4.4 out of 5 stars,"1,691",B07VNMWWRX,,,ZOUK Black Printed Handmade Vegan Leather Women's Office Bag for 15.6 inch Laptop with Double Handles - Lattice Lace
CRAFTS MY DREAM Women's Cross Body (Multicolor) Rose casual sling Bag,https://amazon.in/Crafts-My-Dream-Womens-CMD2904/dp/B0100BD0IW/ref=sr_1_225?crid=2M096C61O4MLT&keywords=bags&qid=1675289767&sprefix=ba%2Caps%2C283&sr=8-225,₹299,4.0 out of 5 stars,"1,447",B0100BD0IW,,,CRAFTS MY DREAM Women's Cross Body (Multicolor) Rose casual sling Bag
Aristocrat Unisex Black Premium Poleyester Fabric 26L Laptop Bags,https://amazon.in/Aristocrat-Unisex-Premium-Poleyester-Fabric/dp/B09ZV9MSFQ/ref=sr_1_226?crid=2M096C61O4MLT&keywords=bags&qid=1675289767&sprefix=ba%2Caps%2C283&sr=8-226,₹654,3.7 out of 5 stars,36,B09ZV9MSFQ,,,Aristocrat Unisex Black Premium Poleyester Fabric 26L Laptop Bags
"WALKENT 15.6"" Waterproof Anti-Theft Laptop Bag 27L (Model - Craft, Black) Expandable, External USB for Office, College, Men, Women",https://amazon.in/WALKENT-Craft-Laptop-Bag-Anti-Theft/dp/B0978JT5HR/ref=sr_1_227?crid=2M096C61O4MLT&keywords=bags&qid=1675289767&sprefix=ba%2Caps%2C283&sr=8-227,"₹2,365",4.2 out of 5 stars,356,B0978JT5HR,"EXPANDABLE DESIGN FOR TRAVEL – Turn this 18L Small bag into a 27L backpack suitable to carry extra files, clothes for your daily need or a short Trip;WATER RESISTANT CUSHIONED COMPARTMENT – Special padded compartments to store Laptop, Ipad, Tablet etc... With over 10 pockets, there is a place for everything;SUITABLE FOR ALL - This bag is suitable for Offices, College or just while going on a short 3-4 day trip. Apt for both Men and Women",,"WALKENT 15.6"" Waterproof Anti-Theft Laptop Bag 27L (Model - Craft, Black) Expandable, External USB for Office, College, Men, Women"
"Kraptick Diaper bag backpack, diaper bags for mom for travel, baby diaper bag, maternity bags for mother and baby, nursing bags for mothers, diaper bag handbag",https://amazon.in/Kraptick-backpack-maternity-nursing-mothers/dp/B0BFWJFS62/ref=sr_1_228?crid=2M096C61O4MLT&keywords=bags&qid=1675289767&sprefix=ba%2Caps%2C283&sr=8-228,₹975,5.0 out of 5 stars,2,B0BFWJFS62,,,"Kraptick Diaper bag backpack, diaper bags for mom for travel, baby diaper bag, maternity bags for mother and baby, nursing bags for mothers, diaper bag handbag"
